i,j,cmd,value
AFG,BOL,850511,1484.0
AFG,CAN,850511,8221.0
AFG,GTM,280429,219.0
AFG,IDN,251110,5.0
AFG,IRL,850511,2907.0
AFG,PAK,270112,32506760.0
AFG,CHE,850511,13343.0
AFG,UZB,850511,21.0
ALB,FRA,280429,951334.0
ALB,DEU,280429,46787.0
ALB,ITA,251110,89996.0
ALB,ITA,280429,8802.0
ALB,MLT,850511,6.0
ALB,PRT,850511,16.0
ALB,SWE,850511,1798.0
ALB,TUR,260600,18.0
ALB,MKD,270112,11672908.0
ALB,GBR,280429,4369.0
ALB,GBR,811292,7654.0
DZA,AGO,280429,16799.0
DZA,AZE,280429,29625.0
DZA,ARG,280429,2738342.0
DZA,AUT,251010,829715.0
DZA,AUT,280429,3874570.0
DZA,ARM,280429,65542.0
DZA,BEL,251010,688786.0
DZA,BEL,280429,299.0
DZA,BIH,280429,294518.0
DZA,BRA,251010,4636500.0
DZA,BRA,280429,5167449.0
DZA,BGR,280429,96125.0
DZA,CHN,251110,3503.0
DZA,HRV,280429,843709.0
DZA,CYP,280429,32310.000000000004
DZA,CZE,280429,457621.0
DZA,FIN,280429,12835.0
DZA,FRA,250490,42.0
DZA,FRA,251010,3642274.0
DZA,FRA,280429,365680489.0
DZA,DEU,251110,2288.0
DZA,DEU,280429,26584213.0
DZA,GRC,251010,1666239.0
DZA,GRC,280429,2760.0
DZA,HUN,251010,2.0
DZA,IRL,280429,19601530.0
DZA,ITA,251010,4556203.0
DZA,ITA,280429,10073827.0
DZA,CIV,280429,81429.0
DZA,KOR,251010,150.0
DZA,LUX,280429,8697.0
DZA,MLT,280429,389594.0
DZA,MDA,280429,407051.0
DZA,MNE,280429,77806.0
DZA,MAR,280429,1748771.0
DZA,NGA,280429,120111.0
DZA,NOR,280429,295005.0
DZA,PAK,251010,20843997.0
DZA,PRY,251010,9181.0
DZA,POL,280429,7695279.0
DZA,ROU,280429,1081326.0
DZA,SRB,280429,4350172.0
DZA,SVK,280429,1338927.0
DZA,SVN,280429,469447.0
DZA,ZAF,280429,2336250.0
DZA,ESP,280429,19185734.0
DZA,CHE,280429,9653452.0
DZA,TUN,252910,1530.0
DZA,TUN,280429,400902.0
DZA,TUR,251010,11935250.0
DZA,TUR,280429,3089010.0
DZA,UKR,280429,1555739.0
DZA,MKD,280429,853192.0
DZA,EGY,280429,3326806.0
DZA,GBR,280429,39171052.0
DZA,USA,280429,21742182.0
DZA,URY,251010,4657704.0
ASM,S19,811292,8972.0
ASM,WSM,280429,2047.0000000000002
AGO,BEL,280469,2847846.0
AGO,CAN,280469,149416.0
AGO,CHN,260200,165311.0
AGO,CHN,280469,151438.0
AGO,COG,251110,53048.0
AGO,COG,280470,1430.0
AGO,COD,280470,189.0
AGO,DNK,850511,866.0
AGO,FRA,251010,91.0
AGO,FRA,280469,57150.0
AGO,DEU,280469,920599.0
AGO,GHA,850511,15.0
AGO,HKG,280469,394800.0
AGO,ITA,280469,97130.0
AGO,CIV,260200,62852.0
AGO,MAR,280469,6000.0
AGO,NAM,251110,72070.0
AGO,NAM,850511,3566.0
AGO,NLD,280469,129072.0
AGO,POL,280469,448949.0
AGO,IND,280469,775342.0
AGO,SVK,280469,53449.0
AGO,SVN,280469,14400.0
AGO,ZAF,850511,655.0
AGO,ESP,280469,1186065.0
AGO,ARE,280429,269290.0
AGO,USA,280469,4226162.0
AGO,USA,850511,6054.0
ATG,BEL,280469,371773.0
AZE,CZE,720293,99384.0
AZE,DNK,280470,380262.0
AZE,GEO,280429,10096.0
AZE,GEO,850511,128.0
AZE,DEU,850511,11.0
AZE,NLD,850511,87.0
AZE,TUR,740311,11606170.0
AZE,UKR,740311,181118.0
ARG,AUS,252800,396117.0
ARG,AUS,850511,929.0
ARG,AUT,252910,3044.0
ARG,AUT,283691,88375.0
ARG,BOL,251110,640.0
ARG,BOL,850511,389.0
ARG,BRA,252800,27354640.0
ARG,BRA,270112,75967.0
ARG,BRA,283691,78787.0
ARG,BRA,850511,39.0
ARG,CAN,283691,160041.0
ARG,CHL,252910,923413.0
ARG,CHL,260200,13970.0
ARG,CHL,283691,846.0
ARG,CHN,283691,408984208.0
ARG,CHN,850511,2024.0
ARG,CRI,280469,174.0
ARG,CRI,850511,30.0
ARG,CZE,283691,12341.0
ARG,DNK,280469,1.0
ARG,ECU,252910,112832.0
ARG,EST,283691,156.0
ARG,FIN,283691,411.0
ARG,FRA,283691,6114081.0
ARG,DEU,283691,991073.0
ARG,DEU,850511,1.0
ARG,GTM,252800,17957.0
ARG,GTM,280429,2605.0
ARG,ISL,283691,39798.0
ARG,IDN,252800,11880.0
ARG,IRL,283691,7475.0
ARG,JPN,283691,65818696.0
ARG,KOR,252800,28114.0
ARG,KOR,283691,95817910.0
ARG,MAR,283691,28414.0
ARG,NLD,282200,1594.0
ARG,NLD,283691,2152512.0
ARG,NZL,252800,174836.0
ARG,NZL,283691,461.0
ARG,NOR,283691,610.0
ARG,PRY,251110,320.0
ARG,PRY,252800,695623.0
ARG,PRY,252910,214476.0
ARG,PRY,252922,26429.0
ARG,PRY,280429,4393.0
ARG,PER,252800,343692.0
ARG,PER,850511,342.0
ARG,POL,283691,28.0
ARG,SEN,280429,296.0
ARG,IND,252800,13017.0
ARG,ZAF,283691,101.0
ARG,ZAF,850511,769.0
ARG,ESP,252800,22510.0
ARG,ESP,260200,185.0
ARG,ESP,283691,4554675.0
ARG,ESP,850511,793.0
ARG,THA,283691,792801.0
ARG,EGY,252800,1792046.0
ARG,GBR,283691,1863024.0
ARG,USA,252800,2694247.0
ARG,USA,283691,78541685.0
ARG,USA,711011,495074.0
ARG,URY,251110,143.0
ARG,URY,252910,3766.0
AUS,ARG,270112,42419673.0
AUS,ARG,750210,1853397.0
AUS,ARG,850511,114.0
AUS,AUT,270112,63662711.0
AUS,AUT,280469,390.0
AUS,AUT,711011,2244.0
AUS,AUT,750210,17452771.0
AUS,AUT,850511,372.0
AUS,BGD,270112,4132402.0
AUS,BGD,740311,119544986.0
AUS,ARM,850511,344.0
AUS,BEL,252800,2.0
AUS,BEL,270112,427354186.0
AUS,BEL,280469,147597.0
AUS,BEL,850511,578.0
AUS,BRA,270112,1046041539.0
AUS,BRA,280429,95423.0
AUS,BRA,750210,2648288.0
AUS,BRA,810194,18443.0
AUS,BRA,850511,4222.0
AUS,BRN,251110,73422.0
AUS,BGR,750210,360298.0
AUS,CAN,250490,1980.0
AUS,CAN,252910,7521.0
AUS,CAN,260600,13.0
AUS,CAN,270112,705801.0
AUS,CAN,280469,10032793.0
AUS,CAN,282200,125423.0
AUS,CAN,740311,8467.0
AUS,CAN,750210,1145817.0
AUS,CAN,810820,4471.0
AUS,CAN,850511,347754.0
AUS,CPV,270112,14933324.0
AUS,LKA,270112,486120.0
AUS,CHL,270112,97937780.0
AUS,CHN,250490,76673.0
AUS,CHN,251010,1138.0
AUS,CHN,260200,411455277.0
AUS,CHN,260600,1833736624.0
AUS,CHN,270112,8689728997.0
AUS,CHN,280429,145.0
AUS,CHN,280470,12879.0
AUS,CHN,282200,13.0
AUS,CHN,711011,3217545.0
AUS,CHN,711021,592129.0
AUS,CHN,740311,1367463384.0
AUS,CHN,750210,58912505.0
AUS,CHN,850511,812787.0
AUS,COL,750210,57617.0
AUS,CYP,811010,3818.0
AUS,CYP,850511,79.0
AUS,CZE,270112,1178026.0
AUS,CZE,280469,214622.0
AUS,CZE,750210,387507.0
AUS,CZE,850511,1022.0
AUS,DNK,252800,11.0
AUS,DNK,810411,1026.0
AUS,DNK,850511,6507.0
AUS,ECU,280429,3788.0
AUS,SLV,850511,51.0
AUS,FJI,250490,341.0
AUS,FJI,280429,103225.0
AUS,FJI,280469,6325.0
AUS,FJI,283692,167.0
AUS,FJI,850511,29.0
AUS,FIN,270112,112176915.0
AUS,FIN,850511,847.0
AUS,FRA,250490,165.0
AUS,FRA,260600,100.0
AUS,FRA,270112,661628067.0
AUS,FRA,720292,86242.0
AUS,FRA,740311,1706697.0
AUS,FRA,750210,19148776.0
AUS,FRA,810820,106.0
AUS,FRA,850511,11642.0
AUS,GEO,270112,14980924.0
AUS,DEU,260600,1287.0
AUS,DEU,270112,946418988.0
AUS,DEU,280429,25149.0
AUS,DEU,280469,22643020.0
AUS,DEU,750210,86654253.0
AUS,DEU,850511,83388.0
AUS,GRC,270112,276579.0
AUS,GRC,850511,7058.0
AUS,GUY,740311,8678.0
AUS,HKG,251010,257.0
