i,j,cmd,value
AFG,BOL,850511,5819.607843137254
AFG,CAN,850511,33366.41176470588
AFG,CHE,850511,51699.066666666666
AFG,GTM,280429,211.05256026613569
AFG,IDN,251110,9.803921568627452
AFG,IRL,850511,2850.26862745098
AFG,PAK,270112,31869372.68333333
AFG,UZB,850511,20.588235294117645
AGO,ARE,280429,269290.0
AGO,BEL,280469,417720.5623837891
AGO,CAN,280469,585944.7333333334
AGO,CHN,260200,23366.875826947897
AGO,CHN,280469,164253.95233515243
AGO,CIV,260200,61619.17941176471
AGO,COD,280470,189.24
AGO,COG,251110,53048.0
AGO,COG,280470,1430.42
AGO,DEU,280469,7220384.7450980395
AGO,DNK,850511,865.53
AGO,ESP,280469,2073789.1193458273
AGO,FRA,251010,102.16233863620373
AGO,FRA,280469,224116.42352941178
AGO,GHA,850511,15.0
AGO,HKG,280469,394800.0
AGO,IND,280469,360742.7355377597
AGO,ITA,280469,37703.97704039697
AGO,MAR,280469,6000.0
AGO,NAM,251110,72070.5
AGO,NAM,850511,3566.0
AGO,NLD,280469,74254.24862895638
AGO,POL,280469,440146.07843137253
AGO,SVK,280469,419208.0705882353
AGO,SVN,280469,14400.0
AGO,USA,280469,2406122.8075037627
AGO,USA,850511,6054.0
AGO,ZAF,850511,655.0
ALB,DEU,280429,360709.61079902604
ALB,FRA,280429,3667243.47793856
ALB,GBR,280429,16842.93103566949
ALB,ITA,251110,91136.43431372549
ALB,ITA,280429,8762.05038232632
ALB,MKD,270112,22888055.62745098
ALB,MLT,850511,25.466666666666665
ALB,PRT,850511,123.27843137254902
ALB,SWE,850511,7050.752941176471
ALB,TUR,260600,141.1764705882353
ARE,AGO,280429,288103.6867907158
ARE,AGO,850511,3817.6470588235293
ARE,ARM,850511,941.1764705882352
ARE,AUS,280429,994536.8553630222
ARE,AUS,850511,7821.280392156863
ARE,AUT,850511,3232.285294117647
ARE,AZE,280429,444364.2847486578
ARE,BEL,270112,159.57450980392156
ARE,BEL,850511,124.6049019607843
ARE,BEN,280429,54824.46729360557
ARE,BEN,280469,40.65686274509804
ARE,BHR,251110,668.2833333333333
ARE,BHR,280429,126285.83013854484
ARE,BHR,850511,1267.3392156862744
ARE,BRA,280429,176139.26276238426
ARE,BRA,282200,81813.78576063616
ARE,CAN,251110,11808.580392156862
ARE,CHE,280429,3618302.7368111843
ARE,CHE,850511,195152.09019607844
ARE,CHN,270112,1067.6470588235295
ARE,CHN,740311,298500334.44329256
ARE,CHN,850511,126720.58823529411
ARE,CIV,280429,44810.51769237202
ARE,COL,850511,9557.098039215685
ARE,CYP,260600,1069.6470588235293
ARE,CYP,280429,85851.40151307259
ARE,CYP,850511,93.38039215686275
ARE,DEU,711011,1849963.7254901961
ARE,DEU,850511,435940.65882352943
ARE,DNK,811010,9.243137254901962
ARE,DNK,850511,11.66078431372549
ARE,ECU,850511,36770.35294117647
ARE,EGY,280429,49685.59861662211
ARE,EGY,280470,21022.49447155539
ARE,EGY,850511,1238.7264705882353
ARE,ESP,280429,16956657.176132116
ARE,EST,270112,274749.3333333333
ARE,FRA,252910,169.7843137254902
ARE,FRA,280429,3522886.614444391
ARE,FRA,711011,408044.6980392157
ARE,GBR,280429,13569370.825545143
ARE,GBR,850511,21769.996078431373
ARE,GEO,251110,9600.0
ARE,GEO,280429,19418.76296512618
ARE,GEO,850511,2055.228431372549
ARE,GRC,850511,76.40392156862745
ARE,HKG,711011,10020135.344117647
ARE,HUN,850511,236.6705882352941
ARE,IDN,280429,54738.746224276285
ARE,IDN,711011,194782.35294117648
ARE,IND,251110,93915.19803921568
ARE,IND,270112,27104.454901960784
ARE,IND,280429,1682025.2503269888
ARE,IND,280469,734363.3823529412
ARE,IND,283691,5759.041176470588
ARE,IND,711011,2086205292.0117648
ARE,IND,750210,821243.2764705882
ARE,IND,850511,3581.825490196078
ARE,ISL,850511,38.53823529411764
ARE,ISR,252800,71568.62745098039
ARE,ISR,260600,2931372.5490196077
ARE,ITA,850511,2217.8186274509803
ARE,JOR,251110,4846.105882352941
ARE,JOR,280429,58604.24228898334
ARE,JOR,283691,281.9529411764706
ARE,KEN,280429,232969.51576613993
ARE,KEN,850511,1614.3029411764705
ARE,KOR,270112,42192816.666666664
ARE,KOR,283692,674955.8636186442
ARE,KOR,850511,1477.450980392157
ARE,KWT,250490,294656.3363486754
ARE,KWT,280429,175938.81101564746
ARE,KWT,850511,3638.235294117647
ARE,LKA,250490,766.5478692560903
ARE,LKA,280429,213066.92781669294
ARE,LKA,280469,6.424509803921569
ARE,LKA,850511,5761.89705882353
ARE,LTU,850511,346.078431372549
ARE,MDV,252800,459.4823529411765
ARE,MDV,850511,570.2901960784313
ARE,MLT,252800,110.36078431372549
ARE,MMR,280429,172696.8894963083
ARE,MOZ,280429,130743.4953566839
ARE,MOZ,280469,6460.196078431372
ARE,MRT,280429,79168.73732552031
ARE,MUS,280429,109695.11365836563
ARE,MYS,270112,262225.66078431375
ARE,MYS,720292,902681.9176470588
ARE,MYS,720293,4600633.625490196
ARE,MYS,740311,8053105.503760952
ARE,MYS,850511,3607.1450980392156
ARE,NAM,280429,4255.197389411069
ARE,NAM,280469,468.278431372549
ARE,NGA,280429,1658054.2089192634
ARE,NGA,811292,138.62352941176468
ARE,NLD,251010,153.8676470588235
ARE,NLD,280429,21078.98913810848
ARE,NLD,280480,77.6985226681435
ARE,NLD,720292,9.549999999999999
ARE,NLD,720293,62.6078431372549
ARE,NLD,850511,3961.2999999999997
ARE,NZL,850511,1.1862745098039216
ARE,OMN,251010,40327.39215686275
ARE,OMN,251110,317132.0019607843
ARE,OMN,252800,15.298039215686273
ARE,OMN,252910,53876.94705882353
ARE,OMN,252922,515.056862745098
ARE,OMN,280429,2792835.012578814
ARE,OMN,280469,71220.58235294119
ARE,OMN,720292,697554.7558823529
ARE,OMN,740311,13852924.937317781
ARE,OMN,750210,132527.60196078432
ARE,OMN,810194,3140.9415384615386
ARE,OMN,810820,1550.47500523188
ARE,OMN,811231,1744.0529411764705
ARE,OMN,850511,225105.17843137257
ARE,PAK,250490,50.70234218969483
ARE,PAK,270112,27.397058823529413
ARE,PAK,280429,1077418.1585261442
ARE,PAK,280469,960.8558823529412
ARE,PAK,280470,82.87914090076575
ARE,PAK,740311,2915616.9727592045
ARE,PAK,811010,1527943.5264705883
ARE,PAK,850511,792.635294117647
ARE,PHL,280429,57967.17579912357
ARE,POL,270112,116.66666666666667
ARE,POL,850511,90.19607843137254
ARE,PRT,280429,551158.8539220596
ARE,PRT,850511,10602.03137254902
ARE,QAT,250490,5390.648104460072
ARE,QAT,280429,1381053.5867835525
ARE,S19,810194,60387.11538461538
ARE,SAU,250490,1552.5300083820628
ARE,SAU,252910,280.26176470588234
ARE,SAU,270112,701.4382352941176
ARE,SAU,280429,235359.64168047917
ARE,SAU,720292,325.4901960784314
ARE,SAU,720293,485517.6352941177
ARE,SAU,810820,2179.8728079956027
ARE,SAU,850511,82931.50098039216
ARE,SEN,250490,265.18056629993555
ARE,SEN,280429,2536.885504260181
ARE,SEN,850511,16.927450980392155
ARE,SGP,280429,414264.65765638096
ARE,SVN,252922,3673.098039215686
ARE,SWE,850511,2226.5529411764705
ARE,SYC,280429,1273.7041286267704
ARE,SYC,850511,2993.8892156862744
ARE,THA,251010,63.84313725490196
ARE,THA,280469,709803.8823529411
ARE,THA,711011,29841105.333333332
ARE,THA,850511,67.60784313725489
ARE,TTO,850511,18324.429411764708
ARE,TUR,252910,172.54901960784312
ARE,TUR,280429,562159.2140407506
ARE,TUR,283692,1065.0980698745575
ARE,TZA,280429,239832.07286815427
ARE,UGA,250490,552.8953021303643
ARE,UGA,280429,66403.4863107407
ARE,USA,280429,154469.27248775263
ARE,USA,850511,11963.725490196079
ARE,UZB,280429,29850.927188326725
ARE,ZAF,280429,171457.93965298234
ARE,ZMB,280429,16786.441227792235
ARE,ZWE,252800,134887.11078431373
ARE,ZWE,280429,31411.193471989187
ARG,AUS,252800,776700.1274509804
ARG,AUS,850511,1821.8568627450982
ARG,AUT,252910,2983.9745098039216
ARG,AUT,283691,86642.43333333333
ARG,BOL,251110,2509.8039215686276
ARG,BOL,850511,1525.4901960784314
ARG,BRA,252800,29656474.86185568
ARG,BRA,270112,148954.9019607843
ARG,BRA,283691,154484.31372549018
ARG,BRA,850511,76.47058823529412
ARG,CAN,283691,648246.356862745
ARG,CHL,252910,905307.2794117647
ARG,CHL,260200,13695.676470588236
ARG,CHL,283691,829.2647058823529
ARG,CHN,283691,413337833.04670984
ARG,CHN,850511,1984.313725490196
ARG,CRI,280469,170.94117647058823
ARG,CRI,850511,29.56862745098039
ARG,CZE,283691,48396.078431372545
ARG,DEU,283691,7773120.31372549
ARG,DEU,850511,8.219607843137256
ARG,DNK,280469,0.9950980392156862
ARG,DZA,252800,52826.470588235294
ARG,ECU,252910,884959.5294117647
ARG,EGY,252800,1756907.7333333334
ARG,ESP,252800,176547.95294117648
ARG,ESP,260200,1448.2901960784313
ARG,ESP,283691,35722937.97647059
ARG,ESP,850511,6220.9254901960785
ARG,EST,283691,1225.5686274509803
ARG,FIN,283691,805.4254901960784
ARG,FRA,283691,23976790.07745098
ARG,GBR,283691,7305975.003921569
ARG,GTM,252800,17604.901960784315
ARG,GTM,280429,2510.4653858140796
ARG,IDN,252800,23294.11764705882
ARG,IND,252800,25523.73725490196
ARG,IRL,283691,7328.351960784314
ARG,ISL,283691,39017.379411764705
ARG,JPN,283691,64528133.271568626
ARG,KOR,252800,27562.745098039217
ARG,KOR,283691,93939127.4509804
ARG,MAR,283691,55713.68235294117
ARG,NLD,282200,1552.8509770515145
ARG,NLD,283691,2110305.5098039214
ARG,NOR,283691,1197.2411764705882
ARG,NZL,252800,90065.64089393232
ARG,NZL,283691,452.13039215686274
ARG,PER,252800,1347809.8823529412
ARG,PER,850511,1340.913725490196
ARG,POL,283691,27.45098039215686
ARG,PRY,251110,627.3333333333334
ARG,PRY,252800,1363966.0784313725
ARG,PRY,252910,420540.1960784314
ARG,PRY,252922,51820.94117647059
ARG,PRY,280429,8466.985411129772
ARG,SEN,280429,285.3883558648954
ARG,THA,283691,3109023.137254902
ARG,URY,251110,140.19607843137254
ARG,URY,252910,3692.156862745098
ARG,USA,252800,2641418.6274509802
ARG,USA,283691,77001651.96078432
ARG,USA,711011,485366.6666666667
ARG,ZAF,283691,397.1058823529412
ARG,ZAF,850511,3015.1019607843136
ARM,BEL,811292,3563333.6
ARM,BGR,850511,86.76862745098039
ARM,BLR,850511,6101.98
ARM,CAN,850511,5.796078431372549
ARM,CHN,711021,7340181.18
ARM,DEU,750210,357156.8941176471
ARM,HKG,711011,342198154.19117486
ARM,HKG,711021,518164734.7381241
ARM,KAZ,711011,752478.52
ARM,ROU,850511,86.74509803921569
ARM,RUS,250490,495.08
ARM,RUS,711021,2549177.4
ARM,RUS,811292,82902.6
ARM,RUS,850511,15112.66
ARM,USA,811292,2005285.294117647
ASM,S19,811292,8795.882352941175
ASM,WSM,280429,1972.5271032672506
ATG,BEL,280469,76035.35098039216
AUS,ARE,260600,38557064.704
AUS,ARE,282200,24523.578
AUS,ARE,283691,7332.92
AUS,ARE,711021,295.64
AUS,ARE,810194,3203.204
AUS,ARE,850511,11704.164
AUS,ARG,270112,95154651.57778195
AUS,ARG,750210,3634111.705882353
AUS,ARG,850511,223.82352941176472
AUS,ARM,850511,1347.764705882353
AUS,AUT,270112,22930219.055385605
AUS,AUT,280469,382.01666666666665
AUS,AUT,711011,2199.779411764706
AUS,AUT,750210,17110560.007843137
AUS,AUT,850511,87.33073284238328
AUS,BEL,252800,1.9009803921568629
AUS,BEL,270112,611022926.4290887
AUS,BEL,280469,282686.14338135987
AUS,BEL,850511,1446.413762132374
AUS,BFA,280429,4813.0892941510965
AUS,BFA,740311,23049.95756958835
AUS,BFA,850511,20853.158
AUS,BGD,270112,8264803.214
AUS,BGD,740311,239089972.414
AUS,BGR,750210,1412933.8901960785
AUS,BRA,270112,1962396458.8309753
AUS,BRA,280429,183920.25989292664
AUS,BRA,750210,5192721.568627451
AUS,BRA,810194,28373.846153846152
AUS,BRA,850511,6553.8555533227545
AUS,BRN,251110,146844.504
AUS,CAN,250490,3959.46
AUS,CAN,252910,30551.760784313723
AUS,CAN,260600,52.14901960784314
AUS,CAN,270112,2866986.074509804
AUS,CAN,280469,28791428.276503187
AUS,CAN,282200,204348.17310221706
AUS,CAN,740311,32770.84919300699
AUS,CAN,750210,4583510.333333333
AUS,CAN,810820,16868.2297505853
AUS,CAN,850511,232730.16906293877
AUS,CHE,270112,40741711.442
AUS,CHE,711011,42655539.74509804
AUS,CHE,711021,126945382.2745098
AUS,CHE,810820,3497.524
AUS,CHE,850511,834.1065762692809
AUS,CHL,270112,108593176.76245949
AUS,CHN,250490,113505.2653574214
AUS,CHN,251010,1115.686274509804
AUS,CHN,260200,403387526.4705882
AUS,CHN,260600,2855586905.6121783
AUS,CHN,270112,13737260116.799995
AUS,CHN,280429,139.73799652324053
AUS,CHN,280470,25758.928
AUS,CHN,282200,12.661657320098454
AUS,CHN,711011,3211222.072710607
AUS,CHN,711021,1184258.738
AUS,CHN,740311,2127571238.4234476
AUS,CHN,750210,58507714.383902125
AUS,CHN,850511,953540.1147628819
AUS,CIV,283691,1279.620588235294
AUS,CIV,740311,6171.478
AUS,CIV,850511,2710.970588235294
AUS,COL,750210,225950.86274509804
AUS,CPV,270112,29866647.224
AUS,CYP,811010,7636.48
AUS,CYP,850511,619.7176470588234
AUS,CZE,270112,4619709.803921568
AUS,CZE,280469,841654.9019607843
AUS,CZE,750210,1519635.294117647
AUS,CZE,850511,4007.843137254902
AUS,DEU,260600,10092.470588235294
AUS,DEU,270112,898997412.9982072
AUS,DEU,280429,193890.80687244004
AUS,DEU,280469,70449730.99098304
AUS,DEU,750210,679641196.9411764
AUS,DEU,850511,118875.80064325579
AUS,DNK,252800,10.806862745098039
AUS,DNK,810411,789.0369230769231
AUS,DNK,850511,7715.955451065786
AUS,DZA,283691,4825.490196078431
AUS,ECU,280429,29204.35465986209
AUS,EGY,850511,560.4365355778446
AUS,ESP,250490,1024.935195277184
AUS,ESP,270112,829966657.7294819
